Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,-9999
58,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-088,1998,17,15,1242,13.8,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,1.2,1.2,3.0,4.2,0.09,0.22,0.30,0.09,0.30,cd1acf9d
59,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-202,2002,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,b907d169
60,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-194,1999,9,5,452,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.03,0.05,0.02,0.05,acc1aefa
61,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,18-349,2004,8,3,317,3.5,0,2,0,0,0,1,0,0.00,0.57,0.57,0.00,0.57,1.0,1.0,1.5,2.4,0.27,0.41,0.69,0.27,0.69,f8405304
62,Faride Alidou,de GER,DFMF,Eint Frankfurt,de Bundesliga,21-169,2001,8,0,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.07,0.20,0.27,0.07,0.27,00f518d8
63,Alisson,br BRA,GK,Liverpool,eng Premier League,30-093,1992,17,17,1530,17.0,0,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,7a2e46a8
64,Jim Allevinah,ga GAB,FWMF,Clermont Foot,fr Ligue 1,27-310,1995,15,7,697,7.7,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,1.2,1.2,0.7,1.8,0.15,0.09,0.24,0.15,0.24,1956b948
65,Dele Alli,eng ENG,MF,Everton,eng Premier League,26-267,1996,2,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,cea4ee8f
66,Domingos André Ribeiro Almeida,pt POR,MFFW,Valencia,es La Liga,22-218,2000,12,9,796,8.8,2,2,2,0,0,0,0,0.23,0.23,0.45,0.23,0.45,0.5,0.5,1.4,1.9,0.06,0.16,0.21,0.06,0.21,e6697917
67,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28-327,1994,17,17,1420,15.8,9,1,9,0,0,0,0,0.57,0.06,0.63,0.57,0.63,5.1,5.1,1.2,6.4,0.33,0.08,0.40,0.33,0.40,862a1c15
68,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-006,1990,8,5,540,6.0,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.8,0.8,0.2,0.9,0.13,0.03,0.16,0.13,0.16,f4290206
69,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-175,1989,14,8,743,8.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.03,0.04,0.07,0.03,0.07,0a63446f
70,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22-285,2000,7,4,429,4.8,2,0,2,0,0,0,1,0.42,0.00,0.42,0.42,0.42,0.4,0.4,0.0,0.4,0.08,0.00,0.08,0.08,0.08,852ddfb8
71,Julián Álvarez,ar ARG,FWMF,Manchester City,eng Premier League,22-337,2000,13,3,368,4.1,3,0,3,0,0,0,0,0.73,0.00,0.73,0.73,0.73,1.3,1.3,0.4,1.8,0.33,0.10,0.43,0.33,0.43,15ab5a2b
72,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,it Serie A,21-229,2001,10,0,170,1.9,1,1,1,0,0,1,0,0.53,0.53,1.06,0.53,1.06,1.3,1.3,0.3,1.6,0.68,0.16,0.85,0.68,0.85,ab472696
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27-344,1995,13,13,1146,12.7,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,0.5,0.8,0.02,0.04,0.06,0.02,0.06,3ecc11d8
74,Ibrahim Amadou,fr FRA,DFMF,Angers,fr Ligue 1,29-272,1993,6,4,401,4.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.01,0.01,0.03,0.01,0.03,9260926b
