Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
130,Rui Silva,pt POR,GK,Betis,es La Liga,28-330,1994,13,13,1170,13.0,11,0.85,48,37,79.2,7,2,4,6,46.2,1,1,0,0,0.0,ea83bfa6
131,Marco Silvestri,it ITA,GK,Udinese,it Serie A,31-307,1991,15,15,1350,15.0,17,1.13,56,39,73.2,6,6,3,5,33.3,2,2,0,0,0.0,0d422df7
132,Unai Simón,es ESP,GK,Athletic Club,es La Liga,25-206,1997,15,15,1350,15.0,14,0.93,46,32,69.6,7,4,4,7,46.7,0,0,0,0,,5dcf3e90
133,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,34-287,1988,3,3,270,3.0,6,2.00,14,8,57.1,1,0,2,0,0.0,0,0,0,0,,0d8a37c2
134,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,31-243,1991,15,15,1350,15.0,25,1.67,71,48,69.0,5,4,6,2,13.3,3,3,0,0,0.0,ab4449d6
135,François-Joseph Sollacaro,fr FRA,GK,Ajaccio,fr Ligue 1,28-288,1994,1,1,90,1.0,3,3.00,3,0,0.0,0,0,1,0,0.0,0,0,0,0,,f19f32b1
136,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,34-017,1988,10,10,900,10.0,14,1.40,60,47,80.0,4,4,2,3,30.0,2,2,0,0,0.0,420c18a1
137,David Soria,es ESP,GK,Getafe,es La Liga,29-274,1993,15,15,1350,15.0,20,1.33,71,50,73.2,4,5,6,6,40.0,3,1,2,0,66.7,8f8c6934
138,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,30-238,1992,6,5,533,5.9,7,1.18,23,16,69.6,2,1,2,2,40.0,0,0,0,0,,ac4003af
139,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,32-260,1990,9,9,762,8.5,3,0.35,21,18,85.7,6,1,1,6,66.7,0,0,0,0,,01b8a2b2
140,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,36-328,1986,8,8,720,8.0,7,0.87,31,24,77.4,6,1,1,2,25.0,0,0,0,0,,b056e3da
141,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,30-248,1992,15,15,1350,15.0,6,0.40,33,27,87.9,12,2,1,11,73.3,2,2,0,0,0.0,6f51e382
142,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,32-301,1990,12,12,1080,12.0,18,1.50,40,23,57.5,4,2,6,2,16.7,1,1,0,0,0.0,e1b0a70d
143,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,32-179,1990,15,15,1350,15.0,24,1.60,56,33,58.9,8,3,4,2,13.3,1,1,0,0,0.0,ce17b5eb
144,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,23-230,1999,10,9,855,9.5,28,2.95,54,28,51.9,2,0,7,2,22.2,2,2,0,0,0.0,fe558029
145,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,34-153,1988,3,3,270,3.0,2,0.67,8,5,75.0,3,0,0,2,66.7,1,0,1,0,100.0,7d3e7da6
146,Guglielmo Vicario,it ITA,GK,Empoli,it Serie A,26-088,1996,15,15,1350,15.0,19,1.27,67,47,73.1,4,5,6,5,33.3,3,1,1,1,50.0,77d6fd4d
147,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,29-195,1993,17,17,1530,17.0,30,1.76,79,51,64.6,5,2,10,6,35.3,2,2,0,0,0.0,d3ce0e89
148,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,28-067,1994,15,15,1350,15.0,24,1.60,62,37,61.3,5,4,6,4,26.7,2,0,1,1,100.0,5c4bf6ba
149,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,27-175,1995,1,0,62,0.7,1,1.45,6,5,83.3,0,0,0,0,,0,0,0,0,,9b688ae1
150,Jeroen Zoet,nl NED,GK,Spezia,it Serie A,31-362,1991,2,1,138,1.5,1,0.65,6,5,83.3,0,1,0,0,0.0,0,0,0,0,,cc1a0c57
