Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
144,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,20,9,5,15,0,8,23,34.8,15,14,1,13,9,29,12,0,12eda7be
145,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,25.9,12,8,7,4,1,3,20,15.0,17,18,0,18,7,19,17,0,d5dd5f1f
146,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,16,0,649b01d8
147,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,42,30,27,10,5,23,39,59.0,16,22,2,20,32,74,76,1,3cd3b384
148,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0,97bfa797
149,Ludwig Augustinsson,se SWE,DFFW,Werder Bremen,de Bundesliga,26,1994,21.7,37,20,19,14,4,17,29,58.6,12,21,7,14,20,57,62,0,9fec8860
150,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,17.8,55,33,33,17,5,15,40,37.5,25,28,5,23,19,74,44,3,5c2b4f07
151,Charlie Austin,eng ENG,FWMF,West Brom,eng Premier League,31,1989,1.5,4,2,1,2,1,1,3,33.3,2,0,0,0,3,7,4,0,8d228291
152,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,26,1994,2.2,6,2,3,1,2,2,4,50.0,2,1,0,1,1,7,0,0,253a06b9
153,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,1997,15.1,5,3,2,3,0,1,14,7.1,13,9,0,9,3,8,4,0,e5478b87
154,Mehmet-Can Aydin,de GER,DF,Schalke 04,de Bundesliga,18,2002,5.6,15,7,9,6,0,4,10,40.0,6,6,1,5,6,21,16,0,fe46e261
155,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,28,1991,23.3,38,26,8,16,14,16,44,36.4,28,28,2,26,16,54,12,0,da052c14
156,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,1994,8.8,15,9,8,5,2,8,13,61.5,5,9,5,4,16,31,33,0,2200181e
157,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,28,1991,37.8,108,61,69,30,9,49,87,56.3,38,53,36,17,36,144,96,5,420d7c7d
158,Ramon Azeez,ng NGA,MF,Granada,es La Liga,27,1992,1.1,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0,0cc474e7
159,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,30,1989,24.3,53,28,22,24,7,19,37,51.4,18,30,5,25,28,81,62,2,53cad200
160,Ludovic Baal,gf GUF,DFMF,Brest,fr Ligue 1,34,1986,3.3,6,5,4,1,1,2,5,40.0,3,4,1,3,5,11,5,0,d3ce9f1f
161,Carlos Bacca,co COL,FW,Villarreal,es La Liga,33,1986,8.7,9,5,5,3,1,3,5,60.0,2,5,0,5,3,12,2,0,09a9e921
162,Loïc Bade,fr FRA,DF,Lens,fr Ligue 1,20,2000,29.0,57,34,47,10,0,30,55,54.5,25,43,17,26,74,131,135,2,114bbdee
163,Milan Badelj,hr CRO,MF,Genoa,it Serie A,31,1989,26.8,56,27,27,22,7,26,84,31.0,58,51,10,41,87,143,45,1,e8c930bb
