Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,-9999
222,Noah Joel Sarenren Bazee,ng NGA,FWMF,Hannover 96,de Bundesliga,21,1996,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,fbbc8e15
223,Claudio Beauvue,gp GLP,FWMF,Caen,fr Ligue 1,30,1988,16.7,26,1.56,15,1,3,3,4,0,4,0.24,0,0,2,1,1,0,8ca253a3
224,Bebé,cv CPV,FWMF,Rayo Vallecano,es La Liga,28,1990,14.5,44,3.04,23,5,8,6,2,0,4,0.28,1,1,1,0,1,0,d8712bf9
225,Bebé,cv CPV,MF,Eibar,es La Liga,28,1990,0.7,2,2.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,d8712bf9
226,Ihlas Bebou,tg TOG,MFFW,Hannover 96,de Bundesliga,24,1994,11.8,51,4.31,31,3,8,4,3,2,8,0.68,5,0,2,0,1,0,a53b661f
227,Uffe Bech,dk DEN,FW,Hannover 96,de Bundesliga,25,1993,0.2,2,9.47,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,f7097e8a
228,Andreas Beck,de GER,DF,Stuttgart,de Bundesliga,31,1987,19.7,33,1.67,26,3,1,0,2,1,4,0.20,4,0,0,0,0,0,00a6485f
229,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,22,1996,23.9,18,0.75,13,2,0,3,0,0,2,0.08,2,0,0,0,0,0,4115ce4e
230,Andrea Beghetto,it ITA,DF,Frosinone,it Serie A,23,1994,24.7,81,3.27,63,14,1,1,1,1,8,0.32,5,2,1,0,0,0,438dfc6a
231,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,31,1987,24.0,1,0.04,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,7b4de647
232,Valon Behrami,ch SUI,MF,Udinese,it Serie A,33,1985,15.1,16,1.06,14,0,0,2,0,0,1,0.07,1,0,0,0,0,0,d3d758d8
233,Hanno Behrens,de GER,MF,Nürnberg,de Bundesliga,28,1990,29.3,61,2.08,48,0,1,9,2,1,4,0.14,2,0,0,2,0,0,77b41ac0
234,Ishak Belfodil,dz ALG,FWMF,Hoffenheim,de Bundesliga,26,1992,20.7,77,3.72,45,1,16,10,5,0,9,0.43,3,0,2,3,1,0,ff182fdc
235,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,26,1991,25.0,46,1.84,40,1,2,2,1,0,2,0.08,2,0,0,0,0,0,857a5abe
236,Karim Bellarabi,de GER,FW,Leverkusen,de Bundesliga,28,1990,11.7,45,3.84,37,0,2,4,1,1,6,0.51,5,0,0,1,0,0,bee0bab1
237,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,23,1995,17.0,37,2.17,32,0,2,3,0,0,9,0.53,8,0,0,1,0,0,f874dd44
238,Andrea Belotti,it ITA,FW,Torino,it Serie A,24,1993,36.7,96,2.62,67,0,3,13,13,0,7,0.19,4,0,0,1,2,0,d705ba44
239,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,19,1999,16.9,31,1.84,29,0,0,0,2,0,0,0.00,0,0,0,0,0,0,ed5c5fa3
240,Hatem Ben Arfa,fr FRA,FWMF,Rennes,fr Ligue 1,31,1987,22.6,104,4.60,59,11,16,5,13,0,5,0.22,3,2,0,0,0,0,74dc806c
241,Wissam Ben Yedder,fr FRA,FW,Sevilla,es La Liga,27,1990,31.2,94,3.01,75,0,7,9,3,0,21,0.67,14,0,3,3,1,0,942b4f90
242,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,34,1983,22.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,b7e7937d
